topic,business_id,business_name,cluster_sentiment,generated_kp,aspects_terms,coverage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,negative,Limited parking availability.,"['traffic', 'parking']",4,"The concept is a great idea, however they need to workout how to handle the weekend traffic.","

The only downside is not a lot of parking.","The parking is limited and the wait for the bar is long, but overall it was a cute spot to get a fun drink."," While there is a parking lot, it is shared with Bodega so I'm sure Fri/Sat nights  will be difficult to get parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,negative,Overcrowded and boring atmosphere.,"['crowd', 'overcrowd']",3,"I'd try to go here again during the weekdays, maybe it'll be less crowded and noisy.",I'll try coming back when the newness wears off and it's less crowded.,I know this is silly but it makes it a super boring place that's just way too overcrowded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,negative,Poor music selection.,['music'],3,There was really no changing up the music AT ALL.,Every single time I've gone the music has been horrible.,"I've given this place a chance THREE times and for whatever reason they just seem to not get the music part right, DJ or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,negative,Kitsch decor.,['decor'],2,The decor and ambience doesn't make up for the experience.,"

The decor is kitsch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Delicious and creative craft cocktails.,"['drink', 'craft cocktail lounge', 'cocktail', 'signature cocktail menu', 'drink selection', 'craft cocktail', 'cocktail drink', 'crafty cocktail', 'craft beer', 'fancy cocktail', 'craft cocktail menu', 'seasonal cocktail', 'cocktail menu', 'drink menu', 'signature cocktail', 'wine']",84,Excellent service and great drinks!,He even came up with a drink for me when I asked for something with tequila.. my bartender friends have told me how annoying request like this can be.,We also had a few drinks off the menu that were pretty good.,Drinks were delicious and many adorable photo opt.,"Atmosphere was good, people were good, and drinks were awesome.","Yes, the decor has the millennial aesthetic that is bound to attract people who only come for the photo BUT they have great drinks too people!",I loved the vibe and the plants the drinks were so refreshing and the bartender was so knowledgeable!,Really cute spot to hangout and have some drinks.,They took their time and made each of our drinks to perfection.,"The prices were reasonable, and the drinks were definitely worth it!","But I def adore the staff, atmosphere and drinks.","We went on Old Fashion night, so my drink was only $6 and very good.","You'll feel like you're in the middle of a casting call for the bachelor and bachelorette, but the drinks and atmosphere are immaculate.",It took a while to order since it was busy but I got the summer solstice drink and I loved it!,It was refreshing and the hint of cucumber made it my new favorite summer drink.,Overall MH is a cold vibe and had yummy drinks.,Lovely finished products and tasty drinks.,"Came for pre dinner drinks, probably around 7.","I ordered it from Bodega, and all drinks in bodega are allowed into Mandarin Heights, just no food ):
Their Caipirinha is a twist from Brazil's traditional cachaça (distilled from sugar cane), they use rum (distilled from molasses).",  Florida themed and lovely interior decor and drink.,I would love to try this place out on a Friday evening or Saturday evening to get drinks before we start the night.,The decor is right on-trend and the drinks were delicious and inventive.,"Cool drinks, nice outdoor area but great indoor seating as well.","Really delicious drinks, and it's dog friendly!!",The drinks are very good and everytime I've gone the blonde bartender with the short bob always makes my drinks and she kills it every single time.,The reason why I'm giving this three stars is because I believe that a place can have great drinks and aesthetics but it's music creates the vibe and ambiance of the night.,"The bartenders mix the best drinks, shoutout to Blue!",Drinks are fancy and the bartenders are on their game., The service was great and the drinks were delicious., The drinks were crafted with great detail and were delicious.,"Drinks were great, decor is very cool, good drink specials on Wednesdays and Thursdays.","The drinks here are great, the service is fast and overall, the place is a great hangout for date night or to chill with your friends.",The place itself was so fun and the drinks were great.,Great Drinks and Great Service!,"

First impressions: drinks are very good.","The parking is limited and the wait for the bar is long, but overall it was a cute spot to get a fun drink.",The drinks are phenomenal and reasonably priced.,Great spot for dates or drinks with friends.,Solid drinks.,"Super cute, stop for a drink thought we were going to bodega but landed here glad we did everyone super friendly and drink were great!!",I really enjoyed their drinks and the ambiance.,I will definitely go back as I am happy to have a craft cocktail lounge in this area.,Great cocktails in Seminole Heights at a reasonable price.,The cocktails are carefully crafted yet the service is quick and v friendly.,He made amazing one-of-kind cocktails by request.,"

It's one of the trendiest bars I've been to with the classiest of cocktails.",Creative cocktails like the Port of Buffalo and Lion's Tooth are reasons to trust and visit these bartenders.,"Great ambiance, amazing cocktails for the adventurous drinker, and a wonderful staff.",Always a great spot to grab cocktails any day of the week or weekend if you are in the area!,Overall they have great cocktails and very Instagram worthy aesthetic-make sure to jump in the tub for a photo!,Great atmosphere that is beautifully decorated and delicious cocktails that are beautifully presented and made with care., The upscale atmosphere and focus on cocktails really sets it apart from the typical craft beer joint around here.,Love at first sight... bartender are so friendly and their cocktails are so good!,Oh the cocktails are goodddddd!!,"

My only gripe is that the service can take pretty long but it's because their cocktails are so intricate and well designed that it takes them a while, I do wish they would find a way to be more efficient in making them because when it gets busy you can feel frustrating when they're taking their time garnishing drinks with flowers, but honestly I am okay with waiting because it really is a great place and I enjoyed the cocktails.",Great cocktails and vibe.,"Cocktails, mixologists, vibes, indoor/outdoor seating.",I can't recall the names of the cocktails I had but they were delish.,This new spot just opened in Seminole Heights and serves up unique cocktails.,"Great little spot to grab a delicious cocktail, inside and outside seating area.",Hip spot to get a cocktail.,Worth a drive for a great cocktail.,Still a great place to go for a beautifully crafted cocktail.,Best cocktails in Tampa!,Best cocktails in town.,"They have a ton of cocktails my friends got the wanderlust and I had a sip and it was delightful mezcal, lychee,kumquat,  delicious.",The signature cocktail menu is surprisingly long ~ 20 distinctly different options for everyone.,"Great atmosphere, drink selection is endless and creative, bartenders friendly and helpful, prices reasonable.",Great unique drink selection.,This place prides themselves on their craft cocktails.,"With as lower alcohol & low calories but still delish, it's like Coke zero of craft cocktails?",They add new craft cocktails regularly.,"This must be the place...
With a bathtub, flamingos and cool cocktail drinks 
A world of paradox.","
We came here on a low key Sunday early evening with perfect weather and hot to really take j all.the whimsical decor, and savor the crafty cocktails.",They also sell craft beer here.,"Next, they Googled ""fancy cocktails"" and ""how to bartend"" and decided on three solid people they found via Craigslist to be the master tenders of all things sugary, syrupy, and ""lets light this on fire and put it in a drink cause we're fancy AF"".", There is a unique craft cocktail menu and a full beer and wine list.,Love the seasonal cocktails.,A good cocktail menu,The cocktail menu portrays true 'mixologist' creations.,Their cocktail menu was extensive and reasonably priced.,Very creative drink menu that appeals to all!,I will return I want to try one of their signature cocktails.,"There are mixed drinks, wines, beer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Unique and cozy ambiance.,"['ambiance', 'atmosphere', 'experience', 'ambience', 'aesthetic', 'environment']",38,Wonderful ambiance and decor.,"Love the ambiance, Sunday's they have live music!!!",The ambiance is really what sets this place apart from your typical bar.,We were impressed with the ambiance but were immediately turned off by the rude and arrogant bartenders.,"Great ambiance, amazing cocktails for the adventurous drinker, and a wonderful staff.","Fun ambiance to just talk and even strike up conversation with people next to you, and SUPERB bartenders--especially if they can make their own drink and 8 other people around our group requested it after seeing ours!","

The bathrooms are impeccable, and the ambiance is amazing too.", The overall ambiance and feel of the inside and outside areas were very cozy and comfortable.,I absolutely love the ambiance and reminds me of the hip little spots in Miami.,I really enjoyed their drinks and the ambiance.,"Let's say that this is a vibing  Place, known for their specialty cocktails, amazing decor and fresh flowers on the bar and their signature scent.. the wait at the bar can seem lengthy.. may want to order a couple cocktails at one time for rapid service, however it's a true experience with the ambiance, great music and dim scene.",This was a great place to hang out with someone new because of the fun atmosphere and lively crowd.,"Atmosphere was good, people were good, and drinks were awesome.","Beautiful atmosphere, friendly staff, nice and cool air conditioned patio, and amazing food!!",The atmosphere was super chill and a great place for a photo op as well with their decor.,"Great atmosphere, drink selection is endless and creative, bartenders friendly and helpful, prices reasonable.","The food is great, and the atmosphere was incredible.","But I def adore the staff, atmosphere and drinks.","The atmosphere is fun, the place is filled with flamingo-art, all with a great mix of island music and 90's music on certain nights.","You'll feel like you're in the middle of a casting call for the bachelor and bachelorette, but the drinks and atmosphere are immaculate.",We loved the atmosphere and the modern decorations.,"

The theming throughout the space is pretty unique and the atmosphere is fun!",Great indoor-outdoor atmosphere with knowledgeable bartenders.,Great atmosphere that is beautifully decorated and delicious cocktails that are beautifully presented and made with care., The upscale atmosphere and focus on cocktails really sets it apart from the typical craft beer joint around here.,"

The inside is pretty fancy, but the outside is super chill:  it's nice that there are sort of two different atmospheres in one here.",Funky atmosphere,"Atmosphere is a fun, after work one (I went at 6 pm on Thursday)","

The atmosphere is definitely what this cocktail bar is all about.",The atmosphere was a nice warm and chill setting.,Great atmosphere and interior design.,It was such a great experience!,What a great experience !,"Overall, just the artsy, upscale ambience we were hoping for.",The ambience is another plus.. it's unique and stands out.. However It's a little too loud for a cocktail bar.,Overall they have great cocktails and very Instagram worthy aesthetic-make sure to jump in the tub for a photo!,The reason why I'm giving this three stars is because I believe that a place can have great drinks and aesthetics but it's music creates the vibe and ambiance of the night.,Awesome environment and really great bartenders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Knowledgeable and friendly bartenders.,['bartender'],30,Our bartender was friendly and the service was quick.,Bartenders craft each drink to order and can serve up almost any cocktail you can think of!,I loved the vibe and the plants the drinks were so refreshing and the bartender was so knowledgeable!,We saw some familiar drinks on the menu but wanted to try something new so had the bartender whip us up a couple off menu creations.,"The bartenders were slammed, but never let it get to them.",I have never seen a bartender care so much about the presentation of their drinks.,"Great atmosphere, drink selection is endless and creative, bartenders friendly and helpful, prices reasonable.",Bartenders are true mixologists here.,Bartenders were attentive and prompt with our drinks.,"The bartenders love their job, working to perfect their craft.","Bartender was awesome, thanks for being a great sport and making 5 drinks of ""Niño de Amor""!",It's the bartenders creation and not on the menu but definitely deserves kudos!,"Fun ambiance to just talk and even strike up conversation with people next to you, and SUPERB bartenders--especially if they can make their own drink and 8 other people around our group requested it after seeing ours!",Great indoor-outdoor atmosphere with knowledgeable bartenders.,The bartenders were very nice and helpful with choosing drinks of our liking.,"Great bartenders (friendly, excellent service) and absolutely wonderful vibe.",The bartenders are great also.,The drinks are very good and everytime I've gone the blonde bartender with the short bob always makes my drinks and she kills it every single time.,"The bartenders mix the best drinks, shoutout to Blue!",Drinks are fancy and the bartenders are on their game., The bartenders were all very friendly and happy to explain the cocktails on their menu and make suggestions.,Alana and Morgan are great bartenders!,"I myself prefer the outside bar the best of both world, I enjoyed my night with great friends and even more amazing service, Alana my bartender for the night was amazing, detail oriented, beautiful smile and overall a wonderful person to be taken cared by, I will be definitely be coming back soon.",Awesome environment and really great bartenders.,The bartenders were really easy to talk to and just having real down to earth conversations with everyone.,Morgan is amazing bartender.,"
Bartender was attentive and provided quick service ... especially during super bowl and a packed house.",Morgan's the best but all the bartenders are awesome.,Bartender's choice = They know what they are doing!,The bartenders here sure know their stuff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Trendy and unique bar with amazing cocktails.,"['mirror bar', 'bar', 'bar service', 'designer bar', 'upscale cocktail bar', 'open bar', 'neighborhood bar', 'outdoor bar', 'little cocktail bar', 'outside bar', 'bar tender', 'bar area', 'lounge']",26,"I love the 1970s Art Deco feel you get from the mirrored bar and I love the flamingos on the grass wall, especially the one wearing lightning gear.","This little bar is an absolute gem :) beautifully crafted cocktails, hip and unique design, cool and easy going bartenders!",Definitely my new favorite bar in Tampa,Amazing bar with amazing photo opportunities at every corner.,This bar was so trendy!,"

It's one of the trendiest bars I've been to with the classiest of cocktails.","I was a bit nervous when I realized it was mainly an open air bar, but on a chilly January night they had the space heaters pumping and it made it nice and cozy!","You'll def see your fair share of insta addicts here, but it's worth the wait at the bar.",Love this bar!,"Great intimate space featuring a nice bar, tables and an outdoor patio.",One of my new fav bars!,It's essentially a cute little fancy bar and hang out place.,A new bougie bar in Seminole Heights.,"

The bar is probably one of the most fun spots in town.","One of my new favorite bars in town, in the booming Seminole Heights neighborhood.","Let's say that this is a vibing  Place, known for their specialty cocktails, amazing decor and fresh flowers on the bar and their signature scent.. the wait at the bar can seem lengthy.. may want to order a couple cocktails at one time for rapid service, however it's a true experience with the ambiance, great music and dim scene.","They had a great DJ, great bar service, and the overall vibe was a healthy balance of rowdy and laidback.",They really do great work on designer bars as this place is just as beautiful as Mandarin Hide.,"Feels like an upscale cocktail bar in a big city like Washington, DC or New York City.","

For New Years Eve the tickets included open bar and they had good cocktails to choose from but you could also make your own drink and they had a couple people walking around with food.", I look forward to having more cocktails in the near future at this unique neighborhood bar.,"The decor is amazing and girlie, lots of Instagram worthy pics can be taken since there have props and LED lights with cute sayings everywhere, the have both and indoor and outdoor bar and play a cool mix of music.",This little cocktail bar is just RAD!,"I myself prefer the outside bar the best of both world, I enjoyed my night with great friends and even more amazing service, Alana my bartender for the night was amazing, detail oriented, beautiful smile and overall a wonderful person to be taken cared by, I will be definitely be coming back soon.",Some of the best bar tenders in the area.,I just love this bar area and lounge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Excellent customer service.,"['service', 'location', 'establishment', 'customer service']",17,Excellent service and great drinks!,The service was good.,Our bartender was friendly and the service was quick.,The cocktails are carefully crafted yet the service is quick and v friendly.,"
This is really a hot spot for a mix of ages, and we had great reliable service despite it being the night of gasparilla.",The service is fantastic.,The service was great.,"Great bartenders (friendly, excellent service) and absolutely wonderful vibe.", The service was great and the drinks were delicious.,"The drinks here are great, the service is fast and overall, the place is a great hangout for date night or to chill with your friends.",Great Drinks and Great Service!,"I myself prefer the outside bar the best of both world, I enjoyed my night with great friends and even more amazing service, Alana my bartender for the night was amazing, detail oriented, beautiful smile and overall a wonderful person to be taken cared by, I will be definitely be coming back soon.","
Bartender was attentive and provided quick service ... especially during super bowl and a packed house.",I have been to Mandarin Hide in the past so I was excited for this new location much closer to me.,"Conveniently connected to a good spot named Bodega,it's two great locations that work harmoniously.","

Awesome establishment, and better staff.",Excellent customer service!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Charming and whimsical decor.,"['decor', 'flamingo decor', 'interior decor', 'whimsical decor']",15,Wonderful ambiance and decor.,The decor is really great here.,"The decor is sleek, modern but whimsical with flamingos.","a patio with indoor/putdoor bar) - both spaces so tastefully decorated without losing its ""homey"" vibe - really feels like your in someone's (bougie) home, but without any of the pretentiousness.",The decor is right on-trend and the drinks were delicious and inventive.,The decor is charming with a flamingo theme.,"The decor is amazing and girlie, lots of Instagram worthy pics can be taken since there have props and LED lights with cute sayings everywhere, the have both and indoor and outdoor bar and play a cool mix of music.","Drinks were great, decor is very cool, good drink specials on Wednesdays and Thursdays.",Very fun decor.,Decor is trendy and fun.,The decor was so eye catching we kept finding new things while looking around.,"Let's say that this is a vibing  Place, known for their specialty cocktails, amazing decor and fresh flowers on the bar and their signature scent.. the wait at the bar can seem lengthy.. may want to order a couple cocktails at one time for rapid service, however it's a true experience with the ambiance, great music and dim scene.","Fun flamingo decor, very much like the Gin Joint in Tampa for style.",  Florida themed and lovely interior decor and drink.,"
We came here on a low key Sunday early evening with perfect weather and hot to really take j all.the whimsical decor, and savor the crafty cocktails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Amazing and favorite hangout place.,"['place', 'hang out place']",14,I would definitely recommend you give this place a try.,Love this place.,This place is absolutely amazing!,"Love, love, love this place!!!",Awesome place!,This is the cutest place in Seminole Heights and it has become my favorite place to go with friends for a drink or 5!,Was here during the holidays and absolutely adored this place.,The place itself was so fun and the drinks were great.,YOU ABSOLUTELY CANNOT GO WRONG WITH THIS PLACE!!!,Love this place!,This place is dope-definitely a feast for the eyes.,"

This place is a Gem.",This place is amazing.,It's essentially a cute little fancy bar and hang out place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Great live music.,"['live music', 'music', 'jazz wednesday', 'live band', 'live jazz']",14,"Love the ambiance, Sunday's they have live music!!!",There was a jazz trio playing live music when I was there and they were excellent.,Great music + great company + @titosvodka soda & lime = a great time!,The music is my vibe here.,The music is upbeat too!,"The atmosphere is fun, the place is filled with flamingo-art, all with a great mix of island music and 90's music on certain nights.","The decor is amazing and girlie, lots of Instagram worthy pics can be taken since there have props and LED lights with cute sayings everywhere, the have both and indoor and outdoor bar and play a cool mix of music.","Also, it helps that I love the music they play here :)",Great choice in music as well.,"Overall great spot, great music.",Amazing music.,I have yet to visit on a jazz Wednesday but am looking forward to the promise of those $6 old fashioned's and great local jazz.,Then there was a live band playing which was great for music.,Have been here several times on weekends and I enjoy coming on Wednesday nights for live Jazz and their $6 old fashioned!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Cool and relaxing vibe.,['vibe'],8,I loved the vibe and the plants the drinks were so refreshing and the bartender was so knowledgeable!,"We had no idea what to expect, but were pleasantly surprised but the cool and relaxing vibes.","Great bartenders (friendly, excellent service) and absolutely wonderful vibe.","I love the vibe here, it's very chill.",Great cocktails and vibe.,Such a cool vibe in this place.,"
If you haven't been get a group of friends and go hang out in the cool vibes and swing over to bodega for late night eats afterwards.","Even though this on a Sunday at 6 pm, there was a good vibe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Perfect spot for a ladies night.,"['lady night', 'date night', 'good night', 'girl night', 'late night eat', 'girl dress up night']",8,It was the perfect place for my friends and I to have a ladies night at!,Great place for a date night or to take friends.,This is the perfect spot to start your date night on.,I'm looking forward to coming back in the future to start my date nights.,Perfect spot for date nights or girls dress up nights.,"They told us the best nights to come which is also a plus, they are an asset to the team.",Had a girls night here the other night and it was just fabulous .,"
If you haven't been get a group of friends and go hang out in the cool vibes and swing over to bodega for late night eats afterwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Mandarin Heights is a cool and recommended place.,['mandarin height'],7,Mandarin heights nailed the equation!,"I def recommend Mandarin Heights for a first date situation, epic girls night stop, birthdays, Sunday fundays and just because.",Mandarin Heights was so cool!,Mandarin Heights is one of my favorite places in Seminole Heights!,First time going to Mandarin Heights and i was blown away when I went and seen it.,I've heard many good things about Mandarin Heights since it opened and was pleasantly surprised when I ventured in here on a recent Saturday evening.,Would definitely recommend stopping by Mandarin Heights before dinner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Reasonable prices for quality service and drinks.,"['price', 'value', 'discount']",7,Great cocktails in Seminole Heights at a reasonable price.,"The prices were reasonable, and the drinks were definitely worth it!","Great atmosphere, drink selection is endless and creative, bartenders friendly and helpful, prices reasonable.",Reasonable prices for the quality or service and drinks.,Pricey but worth it.,"

Such a great value, romantic date spot sp Wednesdays!","But, I know they just started a discount on certain nights for Seminole Heights residents, so I will definitely try to take advantage of that!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,The famous bathtub is a highlight.,"['bath tub', 'bathtub', 'bathroom', 'tub']",7,We even took photos in the famous bath tub!,"I really wanted to take a picture in the bathtub, of course, he was cool about it while casually giving me a sparkler that lite my eyes!",They have a cute little bathtub that's perfect for pictures!,"Then, he or she searched for #crateandbarrelaesthetic on Instagram and decided on a bathtub as the pièce de résistance to tie it all together.","Right when you walk in, there's the infamous insta-worthy bathtub surrounded by grass walls and fun flamingo framed images.","

The bathrooms are impeccable, and the ambiance is amazing too.",The best part is the the famous tub!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Beautiful outdoor seating area.,"['patio', 'poolside', 'outdoor patio', 'outdoor seating', 'garden']",6,"Beautiful atmosphere, friendly staff, nice and cool air conditioned patio, and amazing food!!","a patio with indoor/putdoor bar) - both spaces so tastefully decorated without losing its ""homey"" vibe - really feels like your in someone's (bougie) home, but without any of the pretentiousness.",I can imagine being poolside and having a few to cool off!,"Great intimate space featuring a nice bar, tables and an outdoor patio.",Outdoor seating area is very nice as well.,Loved the hidden little garden tucked away from a busy street.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Exceptional old fashioned cocktail.,"['old fashion', 'angel old fashion']",6,"

My boyfriend is a huge old fashion fiend, and he said it was one of the best ones he's had!",The port of Buffalo combines the bourbon-lovers Buffalo Trace perfection with the sweet balance of a delicate port and walnut bitters: the drink a home run for lovers of a unique old fashioned.,"Really delicious, strong Old Fashioned.",I had their old fashioned for $6 that was on special!,Have been here several times on weekends and I enjoy coming on Wednesday nights for live Jazz and their $6 old fashioned!,I had the angels old fashion and it was exceptional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,The staff is friendly and helpful.,['staff'],6,"Beautiful atmosphere, friendly staff, nice and cool air conditioned patio, and amazing food!!",All the staff was super helpful and nice when I visited!,"But I def adore the staff, atmosphere and drinks.","Great ambiance, amazing cocktails for the adventurous drinker, and a wonderful staff.",Love a place we can go to where the staff leaves an impression.,"

Awesome establishment, and better staff.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Ample and comfortable seating options.,"['seat', 'seat option']",5,"There's a ton of seating both indoor and outdoor and haven't had problems getting a seat, even at their busiest times.","So cozy, plenty of comfortable seating both indoors and outdoors (incl.","It is so cute, both indoor and outdoor seating.",Such a cute spot too - has both indoor and outdoor seating and is always a fun time when we go!,They have fairly good seating options including outside.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,XnNk4Ka8HBiSKh2dEHEqvA,Mandarin Heights,positive,Enjoyable experience with friends.,"['friend', 'young lady']",5,I will be bringing my friends here,Went to Mandarin Heights with some friends last night expecting a chill but classy Friday night experience.,We came here for New Years Eve and met up with a few friends.,Great place for a date night or to take friends.,We had another young lady and she was fantastic I wish I could remember her name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
