topic,business_id,business_name,cluster_sentiment,generated_kp,aspects_terms,coverage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
Hotels,229066,Hotel Colombina,positive,Elegant and well-blended decor.,"['furniture', 'decor', 'chandelier']",8,In addition the furniture is designed to blend in with the rest of the decor which it does perfectly and elegantly rather than just being old and in need of updating which has been suggested.,"The whole room was tastefully decorated with typical Venetian and gold fittings, antique furniture, beautifully stencilled ceiling ballustrades, polished wooden floorboards and classy, Italian tiled large ensuite with nice vanity basin & lovely toiletries and plush white towels.","The bulding and the interior is an experience in it's self, the breakfeat room is superb decorated.. the rooms are big and very nice furniture, with aircondition etc.... our hotel had a window to 'nothing' which were the only downside.. can highly recommend this hotel.. Pictures from the breakfeast room, and outside the hote.","We stayed at the Locanda Remedio before joining a Royal Caribbean cruise, from the minute we stepped of the water taxi, straight into the hotel, we knew we had made a great choice, very helpful and friendly staff and a lovely room with some very expensive looking furniture and plenty of room for the three of us.",The first room we were given was tiny with a double bed to one corner of the wall tho beautifully decorated and with a stylish ensuite.,"The room was well-sized, quiet and tastefully decorated in the classic venetian style and had a flat screen tv.",The furniture in the room was a bit chipped but there was a stunning chandelier and the walls were covered in damask.,The chandelier was beautiful and the room was beautifully decorated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Convenient and affordable sightseeing options.,"['gondola ride', 'grand canal trip', 'trip']",7,The front desk arranged for a tour of Murano and also for our gondola ride.,"If you want a Gondola ride ask the hotel to book it for you direct, you can pick a time and you are picked up and returned to your hotel or a different venue if you ask them.","Marco pre arranged private gondola rides for our guests in the latter part of the afternoon, followed by a great cocktail reception enjoyed by all in their lovely lobby area.","Front desk booked Murano tour, gondola ride- picked up at hotel dock- so convenient.",Hotel arranges a gondola trip for it's guests each day so worth asking about as if you don't mind sharing with other guests makes it an affordable way to have a gondola ride.,Grand canal trip on ACTV is 6.50 Euros and best way to see sights.,They also organised a wonderful trip to Murano for us in a private speedboat for free.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Magical city with beautiful islands.,"['city', 'neighborhood', 'island', 'little town']",7,Wonderful city.,"Great city, hotel and people!",The city is magical.,"Following the suggestion of the concierge we wandered around the city early in the morning, before breakfast and we discovered magic city.","Proximity to San Marco is wonderful, and the real joy is navigating the lovely neighborhoods of Castello -- especially using the hotel as a passage point for exploring neighboring byways and avoiding the heavily trafficked areas.",The islands in the lagon are worth a visit.,DO NOT LEAVE once you have been to the glass factory....you must stay and visit the little town on the island.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Cozy lounge area for socializing.,"['terrace', 'private terrace', 'rialto area', 'lounge area']",6,"The room was just lovely, very clean although small, it was tastefully decorated and had a lovely terrace.","He reserved a room for us, securing the only one that had a rooftop terrace and view of a canal (there is another room with a terrace, but no canal view).",We had an attic room on the 4th floor with a stunning private terrace with a beautiful view of St. Mark's Cathedral and Ducal Palace.,My husband particularly liked the breakfast in our private terrace overlooking the Bridge of Sighs.,We loved so much Rialto area and the picturesque fish market.,There is a lounge area just off the main reception area where we sat every evening for coffee and met some of the other guests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,No comments provided,"['classy', 'fitting', 'expensive']",6,Locanda was an annex of Hotel Columbina & the concierge was in the main hotel which was also very classy.,"This was the most classy of the hotels we stayed at for our whole Europe trip and the most expensive and we felt like in the James Bond movie ""Casino Royale'.",It was so fancy and classy!,"The whole room was tastefully decorated with typical Venetian and gold fittings, antique furniture, beautifully stencilled ceiling ballustrades, polished wooden floorboards and classy, Italian tiled large ensuite with nice vanity basin & lovely toiletries and plush white towels.","It was huge, with 20 foot ceilings, silk-covered walls, and luxurious fittings.","We stayed at the Locanda Remedio before joining a Royal Caribbean cruise, from the minute we stepped of the water taxi, straight into the hotel, we knew we had made a great choice, very helpful and friendly staff and a lovely room with some very expensive looking furniture and plenty of room for the three of us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Enjoyable stay at the Colombina.,['colombina'],5,The Colombina is a small gem in this magic.,Colombina is a very romantic Hotel and we will go back again.,Just to let you know how much we enjoyed the Colombina.,The Colombina could not have been better.,The Colombina answered on all levels and provided a thoroughly enjoyable base for out stay in Venice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Good value for the price.,"['price', 'value']",5,"Yes, it's pricey, but if you go to Venice, you have to stay in the heart of the action.",Despite this we thoroughly enjoyed our stay and if you are looking for a well placed central hotel providing good service and a high standard of accomodation for a reasonable price then look no further.,An excellent value overall.,"Overall, this hotel is good value for your money.",Excellent value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Helpful and attentive front desk staff.,"['front desk', 'front desk staff', 'front - desk staff']",5,The front desk arranged for a tour of Murano and also for our gondola ride.,"The people at the front desk were very helpful in making reservations, giving directions, providing recommendations, and providing assistance in anyway possible.",The front desk staff was attentive and most helpful.,"to our very comfortable room, to the awesome porters and Front Desk staff, to the exceptional location (meters away from St. Mark's Square).","Breakfast was lovely, the hotel gave us a fruit basket on arrival, the front-desk staff ensured that we had a reliable water taxi for our dawn departure, and we took advantage of the umbrellas available for guest use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Willingness to return.,"['return', 'transfer']",5,Wouldn't hesitate to return.,We will definitely return!,but it was all good fun and it would not put us off going back at all I would definately return.,No hesitation about returning!,"However, the hotel is a maximum of 5 mins walk from San Marco piazza, so it is in easy walking distance to the airport vaparetto\/waterbus which is a much cheaper way of transferring.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,A pleasant experience with a noticeable difference.,"['experience', 'attention', 'difference']",4,"Overall, a really pleasant experience.",Overall a great experience and would recommend this hotel to anyone We would stay in this Hotel again if going to Venice.,"We found the attention, wine and food we wanted at the bustling Trattoria da Roberto in Castello.",The difference was like night and day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Excellent turn-down service.,"['turn down service', 'taxi - boat', 'turn - down service']",4,Turn down service was nice and included charming little touches like the next dayâ€™s weather forecast.,I can really recommend to take a private taxi-boat to the hotel when arriving from the airport.,The taxi-boats stops right outside the hotel.,The turn-down service each evening was a nice touch .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Helpful concierge with great recommendations.,['concierge'],4,The concierge helped us (via email) with some fantastic restaurant recommendations and other bits of info before we left home.,A concierge helpfully gave us directions to a recommended restaurant for a good fish supper.,Locanda was an annex of Hotel Columbina & the concierge was in the main hotel which was also very classy.,"The concierge recomended several good restaurants and one not so great one, but on the whole we were happy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Amazing honeymoon experience.,['honeymoon'],3,My husband and I went to Venice for our Honeymoon in July 2006.,"We spent part of our honeymoon in Venice, early June 2010.",We stayed two nights for our honeymoon and couldn't have asked for a better experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Clean room with fresh linens.,"['towel', 'linen']",3,"We were so tired when we arrived, they also refreshed our towels after we showered--they typcially don't do that until the next day.","The whole room was tastefully decorated with typical Venetian and gold fittings, antique furniture, beautifully stencilled ceiling ballustrades, polished wooden floorboards and classy, Italian tiled large ensuite with nice vanity basin & lovely toiletries and plush white towels.",The linens were fresh and the room was clean and in good condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Marco is a gracious and helpful host.,['marco'],3,I contacted Marco approximately a year prior to our arrival and he was without a doubt one of the most gracious hosts that I have worked with from the very beginning of our planning all the way through to our stay at the hotel.,I give the Hotel Columbina a 5+ review overall but would like to give Marco a special recognition for all he did to make our stay perfect in every way.,Marco at the front desk was very helpful and always willing to recommend restaurants and sites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Comfortable base for sightseeing.,['comfort'],2,"Rooms were good and comfortable and always cleaned nicely the following morning, whilst not perhaps 5 star rooms they were certainly worthy of a 4 star and with its own landing jetty (all be it a small one) arriving by Water Taxi from the Airport (even at 105 euros) is a must.","All things considered, this hotel is a very comfortable base for a sightseeing trip to Venice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Friendly and attentive barman.,['barman'],2,We had a lovely chat with the barman one evening â€“ what a friendly man!,The friendly nature of barman Roberto was a highlight as he was always there to fill a glass or making some little snacks to pass to you whilst you had your drink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Great deal on Last minute.com.,['deal'],2,"We booked our room (standard, breakfast included) on the hotel internet site and got a very good deal.",We got a great deal on Last minute.com.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,229066,Hotel Colombina,positive,Visit the fish market early in the morning.,['fish market'],2,"do not miss the typical fish market near Rialto Bridge, but go there very early in the morning.",We loved so much Rialto area and the picturesque fish market.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Room maintenance and cleanliness issues.,"['room', 'front desk', 'room cleanliness', 'bathroom', 'wrong room', 'room maintenance']",17,"The t.v in my room would turn on by itself at 6:30AM every morning...we mentioned this to the front desk and the ""engineer"" said he would take a look at it but it was never resolved.","We had reserved a premium king ocean view many months ago, but upon our arrival we were placed in a room that was obviously not a king room and not at all as shown on their internet site.","WHy we were not in this room to begin with I have no idea as these rooms were not full, Is it some money making scheme on the part of management?",Despite the web site stating that all rooms have flat screen TVs and ipod docks our room had neither.,"As others have said, the rooms are in need of maintenance and updating.",The room is full of things to buy and one gets the feeling that it's pay-pay-pay.,We paid extra for a sea view room but it was very noisy due to the music on the roof.,"However, once we saw our room - small, no safe, very old fashioned bathroom, view on to a busy road - we were surprised, given the pictures on the website.","However, we then found that building work was taking place directly under the room, which started at 8.30am on each of the three mornings.","I'm a chipped paint snob, so it is a bit of a turn off when you pay several hundred dollars and walk into a room that needs some repairs.","My husband and I stay at Joie de Vivre hotels often, but this is our first time here, It has a good beach location, but the front desk crew may have some kind of plan to divert you to a lower priced room.",The service at the front desk is painfully slow and unattentiive.,"Room cleanliness could have been better, and the room was OK but nothing special -- but I decided I was willing to pay for the view.",Unfortunately the bathroom left a lot to be desired.,"My only gripe was the bathroom, very small although nicly tiled.","We had a few nights were people were being noisy, and even attempted to bang into our door at 3am to find they had the wrong room!","In spite of the poor guest service and the need for room maintenance, the Hotel Erwin is a good choice if you want to stay in Venice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Unpleasant surroundings due to construction and location.,"['area', 'construction', 'location', 'reservation', 'homeless population', 'surrounding']",10,"I highly recommend that you exit the hotel on foot only by day, it can be a questionable crowd at night considering there is a hostel nearby and many homeless surround the area.","I would not recommend this place for couples, the area is not very nice in the evening.","The hotel was $100 taxi ride from Hollywood\/Beverly Hills and the area the hotel was situated in was not nice, and not safe for two young girls to go out in the evening.",There was construction going on all throughout the building.,"My room was nice and the hotel itself seemed to be in a cool location right in Venice Beach, but the construction was hard to overlook.","If I had the opportunity to give Joie De Vivre another chance, I probably wouldn't unless it was in a different location.","The restaurant was lovely, and so were the staff so all in all the hotel was great, the location was not.","Don't use their own online booking system, when I arrived they couldn't find my reservation ) Another thing I didn't like, internet is not free ( Awesome bar on the top of the hotel.",It may have the filthiest sidewalks in the US and perhaps the largest or at least most visible homeless population.,It is just a little let down by it's surroundings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Disappointing hotel experience.,"['hotel', 'valet parking', 'bayside hotel']",9,The room we had was lovely but the hotel was very loud (there is a bar on the roof).,At times we did feel like outsiders in our own hotel.,We stayed there for 5 nights and every single day we dreaded going back to our hotel.,"The hotel wasn't very full and I know why, lots of construction.","I was looking forward to staying at this hotel, because it was the most expensive, and I thought it would be the best, but you don't always get what you pay for.",Having arrived at this hotel in the rain it did not inspire me.,"However, we'd have preferred a hotel where we could get a nice meal and a good night sleep!","They have taken away the inclusive breakfast, shuttle to Santa Monica and the valet parking is compulsory.","I made the mistake of staying at the Bayside Hotel (what turned out to be a $150 a night fleabag motel) on a recent 3 day trip to LA, and in desperation called the Erwin and they squeezed me in at late notice and even called a cab to come and pick me up from the Bayside.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Partial ocean views due to the hotel's location.,"['ocean view', 'view', 'premium king ocean view']",6,"A partial ocean view upgrade is not worth the dance club next door pumping bass into your room until 3 AM, as well as the view of the garbage-can alley way.","The hotel is set 200 yards off the ocean, so any ocean view is partially blocked by the boardwalk, a parking lot, and building or so.","We booked the Premier Ocean View King room expecting our room to face the ocean, only to find it was on the side of the building so really only Partial Views (refer photo).",Views from balcony left a lot to be desired as did the unwashed glasses left in our room.,"However, once we saw our room - small, no safe, very old fashioned bathroom, view on to a busy road - we were surprised, given the pictures on the website.","We had reserved a premium king ocean view many months ago, but upon our arrival we were placed in a room that was obviously not a king room and not at all as shown on their internet site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Lack of guest information and poor service.,"['guest information', 'service', 'guest service']",5,No guest information in rooms and no information forthcoming from the guy at checkout who's only mission was to ask us to upgrade to a more expensive room.,"Service at check-in and check-out can be slow If you arrive by car you’ll have to do street or valet parking, valet adds $27 to your bill.",Just don't expect four star service and accomandations.,There doesn't appear to be a guest service focus at all.,"In spite of the poor guest service and the need for room maintenance, the Hotel Erwin is a good choice if you want to stay in Venice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Underwhelming for the price paid.,"['price', 'parking price', 'rack rate']",4,This is a great place for a young couple or singles although very pricey.,For the price I paid it underwhelmed ($350 for 1 night).,"The parking prices are pretty stiff, but still overall, a wonderful place to stay when visiting the eclectic Venice area.","We got a very reasonable deal on this property through Expedia and felt that the value for what we paid was good, however if we were paying the rack rate we would likely have been disappointed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Noisy rooftop bar during peak bar times.,"['noise', 'noisy']",3,Since we stayed over a weekend we were a bit concerned about noise coming from the nightclub High.,"We had a few nights were people were being noisy, and even attempted to bang into our door at 3am to find they had the wrong room!","The one drawback of the rooftop bar, as other reviews have noted, is that if your room is near the elevator or stairway that gives access to it, it will be noisy during peak bar times (weekend nights).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Slow and crowded elevator.,['elevator'],3,The elevators were slow and always packed with people.,Only one elevator which was very busy and meant that we had to carry three heavy suitcases down the stairs for our waiting taxi.,- slooooow elevator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,Music is not audible from all rooms.,['music'],2,The down side is there is a rooftop bar which was right over our head and the music pounded until 1 or 2 in the morning.,We were on the room closest to the Ocean on the 6th floor (top) and we talked with people more towards the back (same view pretty much) and they said that they could not hear the music.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",negative,No comments provided,['rooftop bar'],2,Plus we were right under their rooftop bar and a loud loud bass pulsed through the room from 11:30 am until 10 at night.,The down side is there is a rooftop bar which was right over our head and the music pounded until 1 or 2 in the morning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,2516007,"Hotel Erwin, a Joie de Vivre hotel",positive,Highly recommended hotel with great experience.,"['hotel', 'hotel cafe', 'restaurant', 'hotel bar', 'hotel experience', 'hotel erwin', 'dining', 'boutique', 'restaurant voucher', 'beachside restaurant']",86,Venice isn't for everyone but it makes for a fun staycation and the Hotel Erwin delivers.,I highly recommend this hotel.,Thank you Hotel Erwin for helping to create a nice experience during a very sad time in our lives.,I would recommend this hotel to anyone and next time I’m in Venice you can bet that I will be staying at Hotel Erwin!,It was a great hotel.,The hotel itself is modern and our room was much larger than I expected with views over the ocean as well as inland.,"But beyond that, Venice Beach is a lot of fun and this hotel was great!",I loved this hotel.,The hotel is short walk (5-10 mins) to Abbott Kinney (the main drag in Venice with lots of cute shops and restaurants).,Overall I would wholeheartedly recommend this hotel to anyone looking to stay in the Santa Monica\/Venice area.,Venice is such an awesome place we love it and the hotel is the best!!!!,Pretty satisfied with the hotel.,We recently spent 3 nights at the Hotel Erwin and thought it was a fantastic place to stay.,Hotel Erwin is the best hotel in Venice.,I stayed at the Hotel Erwin for New Years eve 12\/31 to 1\/3 and can't say enough good things about this lovely hotel.,"Have just spent 5 nights at the Erwin, excellent friendly hotel and room was spot on in all respects.",We could not have been happier with the time we had at Hotel Erwin in Venice.,After a business meeting I wanted a hotel on the beach for 2 days of relax.,Great hotel with friendly staff in a fabulous location.,"The first place we saw was Hotel Erwin, right on the beach practically!",The hotel has so many advantages over the other options in the area that it is a no contest.,Hotel Erwin is the hidden treasure of California.,Their staff and hotel is fresh and stylish.,"I work in travel and have stayed at many hotels in my line of work, and I can't say enough good things about my stay at the Hotel Erwin.",Two thumbs up for Hotel Erwin.,If we came back to Venice Beach Hotel Erwin is definitely where we would stay...,I LOVE the Marina Pacific Hotel.,"All my friends and family know this is ""my"" hotel.",From the location to the decor this hotel is a little piece of hipster heaven.,"This is a stylish, modern hotel just a block from the beach.",But the hotel is very classy with a good small restaurant and rooftop bar with a great view.,We liked the hotel and found Venice really interesting.,"I have stayed at the Erwin a couple of times for business, and found the hotel to be quite pleasant.","I couldn't recommend this hotel enough, it's so fu$%king good.",Hotel Erwin was one of my little splurges on my last trip in SoCal...my boyfriend and I were looking forward to a boutique eclectic style experience & Hotel Erwin did not disappoint.,"My wife, 10-year-old daughter, and I had a great experience staying in a suite at the Hotel Erwin.","You're in the heart of the very lively Venice Beach neighborhood which is very active and a little scruffy, but the hotel itself was delightful.","If you're looking for a hotel which is near to the sights of Hollywood etc, then this is not the hotel for you.The hotel itself was beautiful and the rooms were very spacious, with incredibly comfy beds!","The restaurant was lovely, and so were the staff so all in all the hotel was great, the location was not.","The hotel had an interesting retro vibe, and the roof deck is cool.",The Hotel Erwin is a great place to stay.,"Our stay was part of a very special Birthday celebration, and to this day, we talk about how well this hotel complimented our experience.",We stayed at Hotel Erwin for one night and enjoyed our stay very much.,I had the distinct pleasure of staying at the Hotel Erwin over Christmas vacation.,Hotel Erwin however was one of the nicest and cleanest places I have been in a long time.,Amazing hotel!,"The hotel were apologetic about the noise and did give us a refund on our valet parking, which we appreciated.","Quite a funky hotel to stay in,we were upgraded to a suite which has a kitchen in it which gave extra space.The highlight was the rooftop lounge which has 360 views over Los Angeles a brilliant spot to sit and watch the amazing Californian sunsets from while drinking a watermelon margarita.The hotel staff were so helpful especially Eugene at the desk and Chip .I wish that there had been more areas to sit inside the hotel,the bar\/restaurant was small,and I was not very keen on the area,but a very popular hotel not maybe suitable for families with children",Hotel was very understanding and allowed us to have extended chack out.,We stayed at Hotel Erwin for a weekend getaway and it was a much needed break.,"I loved the fact that we could watch the free entertainment on Venice Beach, but when we neeed to escape the madness, Hotel Erwin was right there.",Great hotel.,Hotel Erwin - all the way.,Went to LA for business and stayed at the Hotel Erwin in Venice Beach for a change of pace from the hotels near the airport.,"I was excited to stay in my first Joie de Vivre Hotel, having heard about the boutique chain from family members.","The Erwin Hotel was a great introduction to the JDV way, it's chic and stylish but still affordable.",I stayed here with my girlfriend last week and couldn't have been happier with the hotel.,I highly recommend this hotel for anyone who is looking for a night away from the busy hustle and bustle of LA.,The best part of the hotel is the 7th floor rooftop deck.,Upon awakening we ate at the hotel cafe and really enjoyed our breakfast.,There were shops and restaurants galore all around us.,The package that I booked came with a $50 credit at the restaurant.,There's a rooftop bar on the seventh floor that is worth a visit (especially around sundown) and a restaurant on the first floor (Hash) where guests get 25% off -- good food and very fair prices.,"Very comfortable , ample, and clean rooms for it's category , good restaurant and not too expensive.",There are plenty of shops and restaurants within walking distance.,There is a good restaurant on the boardwalk about ten minutes north: The Fig Tree.,"The hotel is in a sweet location, mere metres from the Venice boardwalk, it's also opposite a couple of the better restaurants around Venice Beach ( notably Danny's.)","Breakfast the next morning at HASH, the inhouse restaurant was superb, and the staff seemed pleasant and geared to customer comfort.","The Hotel has a fantastic roof top bar above ""the breeze"" that has an uninterupted view to all points of the compass and a great little restaurant that is well appointted as well as serves excellent food.",The restaurant (LUSH) was amazing.,The restaurant is new remodeled and the food is amazing.,If your in the Venice area or staying at this hotel you have to check out the restaurant.,"Their restaurant, Hash, had amazing food - a destination even for those not staying at the hotel.",Hotel has great restaurant and rooftop bar which attracts visitors from afar.,The restaurant is cozy but they have good healthy food.,"The food was not very good, so sip your drinks slowly and save your appetite for the restaurants on Abbott Kinney.","There's a trendy rooftop hotel bar which was really nice with some great views, as you'd imagine.","The GM upgraded me to a suite to honor the occasion and I must say that the combination of proximity to the beach and central Venice, the price, the decor and the friendliness of the staff make this one of the best all-around hotel experiences I have ever had.",We have stayed with Hotel Erwin every time we have come to Venice and have never been disappointed.,And I definitely recommend Hotel Erwin.,"if you're looking for a fun, funky, friendly and fresh place to stay in Venice Beach then Hotel Erwin is the spot.","Seriously, we have never written a review for Trip Advisor but we just had to write one for Hotel Erwin after staying there.","The Hotel Erwin lived up to every review I read, and every good thing I'd heard about it!","The Hotel Erwin is close to amazing dining in Venice, Santa Monica and Marina Del Ray.","During our stay, the hotel was undergoing some renovations however, we were not inconvenienced what so ever & the $10 restaurant vouchers in exchange for the disturbance made up for it.",Beachside restaurants great and very good value.,,,,,,,,,,,,,,,,,,,,
